Tag,Question,Responses 
Vin,Have you seen any of Vin Diesel's movie?,"Oh yes, I love the Fast and the Furious and its sequels
I really liked the first three of those movies.-The car chases were so exciting that I could not look away.-Dwayne Johnson, The Rock, is also in several of those films.-I think he's great.-He can do action and he can do comedy.-He was great in San Andreas.-Disaster movies are some of my favorite action films.-Did you like The Day after Tomorrow?-That movie had excellent special effects.-I've never seen it, but maybe I will check it out."
Hot,Did you ever see Hot Fuzz?,"Oh, yeah!-What a great flick!-Yeah, just the righ mix of action and comedy.-And what a great villian.-Timmothy Dalton?-Yeah, I thought I'd never forgive him for his portral of Bond.-That was pretty lacluster.-You can say that again!-He plays the villian well, though."
Mummy,I heard The Mummy was filled with action scenes.,"Oh yeah the special effects were great.-How did Tom Cruise do?-Hes always good in these types of movies.-I am surprised he would do this kind of film
Why he does action films all the time.-Yeah but a remake that wasnt bad?-You always want to put your spin on things.-I think he made the role his.-It did terrible at the box office."
Goodfellas,Have you ever seen the movie Goodfellas?,"Is that the one with Robert De Niro and Joe Pesci?-Yes, The story about the 3 mafia guys.-I love that movie, its really intense.-It definitely is, its one of my favorite mafia movies.-Do you remember the part in the bar?-You mean when Tommy shoots Spider?-Or the part with Billy Bats?-The part with Spider, that was brutal.-He basically shot the guy for no reason.-He was such a hot head he couldn't control his anger."
Have,Have you seen suicide squad?,"Nope have not had a chance to see it yet
I would avoid it if i were you
Why
Just trust me on that
Well tell me why
Because it is really bad the plot is shameful
Nothing like the comics?-Not at all such a letdown
Well now i am just saddened"
Have,Have you seen salt?,"No but i always wanted to
I saw it, it was pretty good
Im a big fan of angelina jo lie
Then you need to watch this movie you will love it
I really need to
Its really good
Ill have to find it and watch it
You wont be disappointed
Great"
Terminator,"Do you prefer Terminator 1, or 2?","I love part 2, but part 1 is the best.-Why is that?-I prefer Arnold as a bad guy.-It was cool to see him not as the hero.-I agree.-But, part 2 was pretty cool.-Yeah, that liquid bad guy was cool.-Part 1 had a cooler story.-Plus, that night club scene was terrific.-Do you like other Arnold movies?-Yeah, Predator, Kindergarten Cop, Conan are all amazing.-They are.-I love his movies."
Taken,How many Taken movies were there?,"Not sure.-I know I only saw two, but don't know if they made a third.-I'll have to Google that and see.-Don't know if I'd watch another.-They can only go so far with those movies.-That's true.-Liam Neeson is a fantastic actor though.-He is very believable.-Yes, he plays his parts great.-I wouldn't mess with him.-Me either."
The,The all-time best action movie ever made is actually a remake.,"It's The Magnificent Seven.-Oh yeah, I love that flick.-Seven heroes ride into town, and save all the little people.-That's true, but first you get to know them one by one.-Yul Brenner is introduced as the cagey old gunslinger Chris Adams.-Un-huh.-Then Steve McQueen plays Vin Tanner, who loses his shirt gambling, and signs up.-Then there's Charles Bronson, playing Bernardo O'Reilly, who's down and out.-No, you left out Brad Dexter, who plays the conniving Harry Luck.-Okay, then we see James Coburn demonstrate his knife and gun skills as Britt.-Great stuff.-Next we meet gentleman Robert Vaughn, plays Lee, who's afraid he's a coward.-And the last to join up is the tag-a-long kid Chico, played by Horst Buchholtz, who wants morethan anything to be a gunslinger.-Then they all ride into town, and save the day."
Never,"Hey, have you ever seen Never Back Down?","Yea, I thought it was really good!-Really?-I thought it was kind of cheesy.-Well, yea, but movies like that are supposed to be.-That's true, like how this football player who's never had a fight in his life is suddenly going up against top fighters.-Yea, that was pretty stupid.-Or how about how that guy's girlfriend just dumps him and gets with the new guy so fast?-Yea, the script wasn't well thought out.-The fight scenes were great though.-Oh yea, the fight scenes were fantastic."
What,What do you think is the best action film in the last five years?,"That is a hard one.-Maybe something like, Edge of Tommorow.-With the aliens and the big guns, very suspenseful and lots of action.-I liked the way the plot played with time too.-Oh yes, they died so many times it was crazy.-I like that one and Snowpiercer.-I have never seen that one.-It has Chris Evans in it, it is not a really popular one.-Is it a super hero one?-No, he is on a train going no where and there is just a lot of action.-He ends up dying in the end."
Terminator,I've always thought Terminator was one of the best action movies ever.,"Oh, yeah.-It's right up there.-Linda Hamilton is amazing in the sequel, though.-She made a big impression on me growing up.-I wonder how long she has to work out to look so buff.-I'm sure she had to train relentlessly for months.-Arnold Schwarzenegger is so awesome always.-Yeah, I'd watch any action film with him in it.-Hey, have you ever seen Commando?-That's an underrated film of his.-I saw it long ago.-Yeah, I remember thinking it was pretty entertaining."
Die,Die hard 1 will always be one of my favorite action movies!,"I know what you mean, especially considering the rest of them.-Under siege is also a classic.-I agree, die hard on a boat!-Exactly, Steven sepals when he was actually good!-But what about hardcore Henry, that was an amazing action film.-That was great, it’s the first time I have ever seen a movie like that, it was like watching a video game.-Yes, it was must have been a nightmare to film.-And you never see his face.-Exactly, you never really know who he is.-The way he beats everybody to get to the boss was great.-Yes and it had a great twist as well with the girlfriend.-Yes, I truly did not see that coming."
Guess,Guess what action movie we watched last night.,"I don't know.-There's so many.-Your favorite one, Die Hard.-With Bruce Willis.-Yes a favorite.-That movie is just great.-It will never be boring no matter how many times you watch it.-I love it.-John McClain, a classic character.-Did you like the second one too.-Is that the one in the airport?-Yes.-Yeah, that one was great too."
That,That was horrible!,"What happened to action films?-I know.-The last one I really loved was Tomb Raider.-Tomb Raider, really?-The one based on the game?-Exactly that one.-Angelina Jolie was great in it.-I remember the sequel, too, The Cradle of Life.-There was supposed to be a third one, I think, but it got cancelled.-I loved that U2 song that they used for the theme.-That whole film was great.-Did you know Angelina did most her own stunts?-That's insane!-She must be really dedicated.-Oh, yeah, I'm a big fan!"
Hi,Hi.,"Hello.-Do you like action movies.-Yeah sure.-What are your top 3.-Oh, tough question.-Sure think about it.-Top Gun, Terminator, Terminator 2
Those are great choices.-Thanks."
Do,Do you like taken?,"Yes i love taken
I just saw a family guy based off that episode
I bet it was funny
It was really fun
Meg and her friend went to paris and got taken
That sounds great
But i really do love the movies
They were done so well
They are addicting to"
Transformer,Did you see the advert for the new Transformer movie?,"It was just action packed.-Do you think the film will be as well?-I think so.-The last ones were not so good.-They had too much going one in them.-The plot was just too confusing.-The new one, some of the good guys go bad.-Optimus Prime goes bad right?-Yes, he wants to kill all humans so the autobots can have the earth.-I wonder if in the movie he will go good again?"
Hello,Hello.,"Hi.-Do you watch action movies?-Yeah definitely.-Do you have a favorite one?-I like Bad Boys.-With Will Smith?-Yeah that's the one.-You know I've never seen that one.-Oh man, you should definitely see it."
Taken,Have you seen the Taken movies?,"Yes I like them.-I like all of them.-They did them all right, I was sad when they killed Lenore off though.-Yes me too.-I like Liam Neeson.-I watch a lot of his movies.-Yeah he is pretty cool.-Did you ever see The Other Man?-No.-Really good movie, his wife dies of cancer.-After she dies he finds out she was having an affair.-Not his typical kind of movie, but really good."
music,have you seen the kill bill series?,"yes, its pretty awesome.-yea, its so suspensful
i agree, its really good though.-especially when she was buried alive and had to punch her way out of the coffin.-yep, its pretty amazing how she was able to get out.-beatrice was so awesome when she fought.-yea!-i love her codename too.-Black manba?-it does sound really cool
i know right!-it really does!"
You,"I hate action movies with drama
But the drama is usually plot
and plot is the worst part of an action movie
You speak blasphemy
Nah i speak the truth
How can you enjoy stuff being mindless
Because it is fun
but fun can be boring
No it cannot
Why not",
Nicholas,What was Nicholas Cage's best movie?,"He's been in some pretty good ones and some bad ones.-I would probably say The Rock.-Nah.-Face-Off.-That movie was too ridiculous.-The premise alone was dumb.-And The Rock was more believable?-He took down a team of soldiers.-I'm not saying it wasn't far-fetched, but at least it was in the realm of plausible.-Face transplants can happen.-I read an article about it.-There's a difference between some medical journals and what happens in the movies.-You're just jealous because I'm the good looking one."
Who,Who is a good action hero?,"Jackie Chan, Van Damme, Arnold, and many more.-Can you think of a good Van Damme movie?-Yes, Lionheart is amazing.-I also like Cyborg.-Those sound cool.-They are.-They are pure action movies.-I've seen Street Fighter.-I liked that.-I liked that too.-It was a good movie.-What do you think is the best action movie ever?-Terminator for sure."
Which,Which new action movie do you really like?,"I really like Kong: Skull Island.-Why do you like this one?-The action and screenplay was amazing in this film.-Why do you say that?-I like how the fighting and action was non-stop.-I really liked the War of the Planet Apes.-Yes, this movie was great as well.-I really liked how the humans and monkeys just clashed over and over again.-Yes, that makes for an epic show down in the next movie."
Kong,Did you ever get to go see Kong: Skull Island?,"No, I have not.-What was it like?-It was quite stunning, the director Jordan Vogt-Roberts did a great job with the action in this movie.-Who starred in the production?-Tom Hiddelston, Brie Larson, Samuel L Jackson and John Goodman were all in this one!-Nice cast, I suspect Tim was the leading man?-Yes, they end up finding an unchartered island together with quite a bit of danger and of course Kong.-It looks better than the last Kong movie they did in Hollywood.-You should go see it, maybe next week if I can I will go with you.-Thanks!-That sounds great!"
Lethal,What do you think of the Lethal Weapon franchise?,"The series?-No, the films.-Oh, I forgot about them.-I liked them.-Did you think Danny Glover was a good fit.-I think he was, he matched well with Mel Gisbon.-I liked their chemsitry.-They always had some good jokes in the midst of the explosions and so on.-I liked that they showed Glover with a nice family.-And the other guy, Gibson, as a sort of loose cannon."
You,You know what movie I love?,"Django Unchained.-Dear God.-I loved that movie, too.-A lot of people say it was slow, but I completely disagree.-The dialogue was superb.-Exactly.-That why I watch Tarantino films.-The dialogue.-He is really a master.-Like with Pulp Fiction when Samuel L. Jackson is in the house with those small time drug dealers.-""Mmhmm!-This IS a tasty burger!""-I will never forget that so long as I live!-That scene is full of amazing dialogue.-How about, ""I want you to go in that bag, and find my wallet.""-And the guy goes, ""Which one is it?""-Oh, yes!-And he says, ""It's the one that says 'Bad Mother' beep!"""
Who,"Man this director is nuts
Who is
The one hong kong guy
Name names dude
John woo
Oh yeah his action is crazy
it is like balls to the wall action
Some of the most intense heart pounding stuff out there
Yeah i love his movies
He is one of the best directors out there for action",
Collide,I just watched the movie Collide the other night.,"That's the one with Nicholas Hoult and Felicity Jones right?-Yeah I've become a huge fan of Nicholas since his role as the War Boy in Mad Max Fury Road.-I'm also a huge fan of Felicity Jones since Like Crazy and recently Rogue One.-Is this an action movie or a romance?-It's starts as a romance but it's a pure action movie.-I was surprised when I found out Ben Kingsley and Anthony Hopkins were also in this!-Wait, I didn't know Ben Kingsley and Anthony Hopkins were in this!-Ben Kingsley is hilarious in his role.-He plays a slimy criminal that makes Nicholas run errands for him.-He's basically playing a character very similar to his role in Iron Man 3 as the Mandarin.-I've always seen Ben Kingsley as a serious actor but when I watched Ironman 3 that was so surprising in a good way to see that he could really ham it up.-He really hams it up in Collide.-The movie overall was very average, the action was good, the romance bare, and the story plot pretty basic.-I would consider this movie a pretty generic action flick.-This sounds like one of those rainy Sunday afternoon movies to throw on.-I think I'll save it for that occasion."
Christmas,"My favorite Christmas movie of all times is ""Die Hard.""","""Die Hard"" isn't a Christmas movie, it's an action-adventure movie.-It takes place at Christmas.-That makes it a Christmas movie.-Fine.-Name me one other Christmas movie with guns and explosions in it.-If you can do that, I'll admit ""Die Hard"" is a Christmas movie.-That's too easy.-""Home Alone.""-I bet you think of that as a Christmas movie, don't you?-""Home Alone"" is a movie aimed at the entire family.-Yes, It's got some action-adventure in it but it's for the entire family.-And I think ""Die Hard"" is a great movie for the entire family.-I think you have a bias against Action-Adventure movies.-Don't you want your children to be able to recognize a European scum terrorist/thief?-Honestly, no, that isn't one of my biggest concerns.-I love action-adventure movies.-I love ""Die Hard.""-But ""Die Hard"" is Not a Christmas movie.-It Takes place at Christmas.-That makes it a Christmas movie.-You're weird!"
What,What is your favorite action movie?,"Dark Knight, without a doubt!-That was a pretty good flick.-Heath Ledger played the best Joker ever!-Yeah, but Batman was a little lacking.-It's that stupid voice he puts on.-He does a great Wayne though.-True.-He plays a playboy to the hilt.-And alfred is just wonderful.-You can't really top Micheal Caine."
Hey,"Hey, do you like the marvel movies?","Those are great action movies!-Can't wait for the new Thor one.-Black Panther is going to be great too, I hope that one does really well.-I hope it does as least as great as Wonderwoman, you know.-Really break some records out there.-Wonderwoman was amazing!-It really was directed well with plenty of great action near the end.-Reminds me of the feeling of Guardians of the Galaxy, really.-That sense of loss then pulling out the win at the end.-Both did have that punch moment, true.-It has the whole drawing you in and making you really feel.-Speaking of action movies, Pacific Rim was another great one.-I didn't like that one as much, but the concept was truly unique.-Come on, giant robots?-What's not to like?"
What,What kind of movies do you like?,"I like action
Me too, do you have a favorite
I really liked John wick
I havent seen it, is it good?-Its really good you should watch it
I will
Im excited to see the second one
I bet you will like that one too
Im hoping to see it this weekend"
Schwarznegger,Arnold Schwarznegger is one of my favorite actors.,"What movies did you like him in?-Terminator is a classic movie.-Oh, that was one of the best movies.-It's so cool how he was a robot terminating people.-There were plenty of action scenes.-Yeah, I don't like the soft romantic stuff.-It's a pretty fast paced movie.-That's good.-I don't like to be bored watching movies.-Arnold movies are always fun to watch."
John,Have you seen John Wick 2 yet?,"No, I have not.-It sounds like an action movie.-Did you like it?-I have not seen it, but plan on going to see it.-I liked the first movie quite a bit.-Who plays in it?-Keanu Reeves, Ruby Rose, Ian McShane to name a few.-Is this one as detailed as the first movie?-Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short!-No doubt, John Wick will probably always be in that business!-I heard it was action packed, and full of violence.-We should go see it!"
James,Did you see James Cameron may be redoing RoboCop?,"No theres no way that can be true.-The movie was not that bad.-Yeah but I dont think he wants to go down that road
He usually does write novel type of movies.-Yeah I loved RoboCop too
They had great fight scenes.-It was really simple for its time
Yet was able to captivate audiences with the various ways they did effects.-I just think you leave it alone, it wasnt a supreme movie enough to get a director back like that"
Mummy,Have you seen the new Mummy movies?,"Is is action of horror?-It is an action one, a bit of horror, but mostly action.-No, I have not have you?-Yes.-What did you think of it.-It had a lot of action, obviously, but the story line fell.-I like the action, but those type of movies need some kind of story.-This one had none, not really.-Just running around and killing mummies.-I do not think I will see it then."
Terminator,Have you ever seen the original Terminator film?,"Of course!-It's one of the best action movies of all time.-Really?-Would you say it's the best of the Terminator movies?-It is my personal favorite.-What about Judgement Day?-Everyone says that one is better.-It has better special effects and action sequences but doesn't have the charm of the original.-How do you mean?-The low budget, sci-fi setting was a lot more appealing to me than the more polished Judgement Day.-I see.-I thought the first one was a little bit campy.-That's part of the charm!"
The,Did you see The Road to Perdition?,"Yes I loved that movie what a job Tom Hanks did
I was so sceptical of Tom Hanks as a ganster but was pleasentkly surprised
I know he was amazing in the movie
The plot was incredible and it kept me on the edge of my seat the entire movie.-My favorite part was when Tom Hanks killed the mob boss on the street
Yeah what a line Paul Newman said when he realized what was happenning ""I am glad it was you""
Talk about chills what a moment
The end was so surprising too you thought Tom Hanks and his son were in the clear than bang the hitman shoots Tom Hanks in front of his son Michael.-The whole movie just blew me away.-I can watch it over and over"
Bond,What was your favorite Bond movie?,"Old or new?-There's been so many.-I would just say ones that have been made recently, like the last 15 years or so.-So out of the Daniel Craig movies?-Skyfall.-See, I always thought that was a bit overrated.-I prefer Casino Royale.-Well, that was the first one with him I think.-They worked the kinks out in that movie.-I actually thought the plot was better than Skyfall.-We'll have to agree to disagree on that one.-One thing's for sure: Quantam of Solace was garbage.-Oh yeah.-Not a good film."
John,"Did you get a chance to see John Wick, Chapter 2?","Yea, but I didn't really like it.-Oh, that's too bad.-Why not?-Well, it just wasn't as cool as the first one.-I thought it was better than the first.-It had way more assasins in it.-Yea that's true, and that fight scene with Keanu Reeves and Common was pretty good.-Yea!-That was awesome.-I guess it wasn't so bad afterall.-Yea, and the next one looks like it will be even better.-That's true, the next could be pretty good."
That,"Can you imagine a world where denzel washington did not do action
That would be a crazy world
Yeah it would
It would be a world that was nowhere near as good
I know he is funny but He is the bomb in action
I know it would not be the same
I love him in Django unchained
He is amazing in  that
One of his best
Easily the best",
Hello,Hello.,Hey there.-Do you like the action genre?-Like for movies?-Yeah.-Sure.-Do you have a favorite?-Yeah sure.-I like Jaws.-Oh yeah a classic.-Yep.
Ninja,Have you seen Ninja Assassin?,"No, what's that?-You'd love it, I'm sure.-Probably, the title is great.-Basically, there's a clan of ninjas.-Let me guess, one's an assassin?-Well, duh.-But more specifically, he is kicked out of and then hunted down by his clan.-Oooh, nice.-How's the action?-Completely hilariously over-the-top, but overly-edited.-I'll have to check it out."
Action,So who's your favorite Action movie star?,"It's a four way tie.-I can't decide between Arnold, Jean Claude Van Damme, Jackie Chan and Bruce Willis.-Okay, first off, I won't even dicuss Arnold.-And Van Damme?-Please.-He's done.-Jackie Chan and Bruce Willis, I'll give you.-Okay, who is your favorite action movie Star?-Bruce Lee.-Hands down.-Oh good.-Let's go with a guy who's been dead for forty years.-Bruce Lee is so dead, even his son is dead.-Aren't you a big fan of Abbot and Costello?-Yeah.-So?-So, you're a fan of comedians from sixty or seventy years ago but you dismiss my action star from forty years, ago.-Hypocrite.-Okay.-YOu got me there."
John,"What was better, John Wick or John Wick 2?","That's a tough decision.-I would go with the second just because of the higher body count.-True, but the first had a better story.-I would agree with you there since they killed his dog.-The second had the better action pieces though.-It's a tough call either way; you really can't go wrong.-I'll be really looking forward to the third one coming out?-They're making another one?-Awesome!-Yep, another couple years, but will be special!"
Hi,Hi.,Hi.-What kinds of movies do you like?-All kinds.-Do you like action?-Yeah sure.-Do you have one you like the best?-Tough one.-Take a while.-I would say Terminator 2.
Do,Do you like action films?,"I love them!-What is your favorite?-Well, for new ones, I would say Logan.-The Marvel one?-Yes, it was full of action.-Was it not like any other Marvel film?-No, it was more like a cop show, lots of killing and action, but a hint of mutant.-Was it very gory?-It was rated R for good reason."
Kick,Did you see the Kick-Ass sequel?,"No.-Hated the first one.-Yeah, it was a little odd.-So why'd you watch the second?-Jim Carrey.-Was he any good?-Kinda weird....-Figures.-So, I take it you won't be watching it?-Not on you life!"
What,What is your favorite action movie?,"My favorite action movie would probably be The Terminator.-What is it about The Terminator that you like so much?-I don't think it's just one element, but instead the combination of actors and the premise of artificial intelligence.-Interesting.-Are there any other action movies you feel strongly positive about?-Sure, there are many, but to name one specifically, I think The Matrix is a very good movie.-What is it about The Matrix that you enjoyed?-I really liked the premise of artificial intelligence.-But, I also liked how the hero grew confident, made sacrifices, and ultimately succeeded.-Did you enjoy the follow up movies to The Matrix trilogy?-Yes, I enjoyed those as well.-However, the original was significantly better."
Steven,Have you seen any of Steven Seagal's movies.,"Yes, I have seen all his older ones.-Why not the new ones.-His new ones are pretty low budget B movie face, His 80s and 90s stuff is the best.-Which ones are good.-Under Siege was one of his best.-He is pretty much the only guy free on an Aircraft Carrier and he has to save everyone else.-That sounds cool.-Wasn't there a sequel.-Yes, It was set on a train.-It was pretty good too.-Eric Bogosian was great as the villain.-I will check those out.-Any others you would recommend?-Hard to Kill was good, so was Out for Justice.-They have lots of action!"
Transformers,Did anyone get to see Transformers: The Last Knight yet?,"No, I have not.-It sounds like a thriller action movie.-Did you like it?-I will go see it this Friday.-Who plays in the movie?-Mark Wahlburg, Isabella Moner, and Anthony Hopkins is even in this one.-Sounds like an all star cast.-It is playing down at Crossroads today at 7pm after work.-I wish I could go, but I have a few things I have to work on tonight.-Maybe next time we can go to another movie!-Sounds great!"
Predator,Did you know that they are making a new Predator movie?,"Yes, I heard that.-Shane Black is going to direct it.-That's right and he was in the original movie.-The original Predator was a classic.-Yeah, I think that it is one of the most underrated action movies out there.-Predators was also underrated.-Who was in that one?-That one starred Adrian Brody.-Yeah, you wouldn't think of him as an action hero, but he did a great job in that one."
Hey,Hey.,"Hey.-Do you watch action movies?-Yeah I watch them sometimes.-Do you have a favorite or favorites?-I like a lot of action movies from the past.-Like 70's and 80's?-Yeah, probably more 80's.-Those always remind me of being a kid and watching them.-Yeah nostalgia has a lot to do with it for me too."
Shoot,Clive owens best movie is Shoot Em Up what do you think?,"I would say that maybe it was his second best movie
What movie did you think was his best?-Children of Men of course you asked for Action movie so I would probably say Sin City
Oh my god I forgot about Sin City that Frank Miller comic was great
It was a comic?-Yeah it was a graphic novel before it was a movie
Kind of like the walking dead was a graphic novel first
yes exactly I highly recommend picking it up at the comic store
heading that way right after we are done here"
Wonder,Did you see the new Wonder Woman?,"I did not.-Well let me tell you it was the bomb.-Like in bad?-No it was packed full of action.-So she did a good job?-Yes and she kept up the pace well
Will we see a new one?-Yes thats true we will definitely see that
Good because I need to see the first one!"
Harrison,My son likes Harrison Ford.,Did you like the Indiana Jones movies?-Yes they were ok.-Some people say he was good in Star Wars but we never seen Star Wars yet.-Really never?-No.-We will have to watch.-Did you watch him in the Fugitive?-Yes my son liked that one.-He was set up and had to go on the run.-Tommy Lee Jones was good in that too.-Yes I like Tommy Lee Jones.-He was good in No Country for Old Men.-Yes that is a great movie.
Woman,"I want togo see Wonder Woman soon, but not sure if it is playing this weekend yet.","Wonder Woman came out in the beginning of June, so it should be available to see in theaters still.-Do you know who stars in it, for Wonder Woman?-I think it is Gal Gadot who plays the part, and Chris Pine is also in this one too.-I can't wait to see it, I am a big Wonder Woman fan.-It has gotten some great reviews from the critics.-How much has it made money wise?-The box office has made $485 million dollars so far and counting.-That is a huge success!-Yes, they are doing well with that movie."
Yes,"Do you like the hunger games
Yes they were good.","Im glad we dont have anything like that
Me too
I cant imagine kids killing each other
Me either, thats just horrible
I know
But it still has a good story and plot
Yes i agree
Thanks for talking to me"
British,Are you into any like British action films?,"I am not even sure what those would be.-Well, Kingsman for one.-With the guy from Pride and Prejudice?-Colin Firth, yes,
I guess that is a British action film.-I like it, so yes.-There is that, and the sequel that is about to come out.-I seen that.-What other action films are British, or at least set in the UK?-Snatch was one.-With the travelers?-I think they portray them wrongly."
What,What is your favorite action film?,"The new Mad Max, Fury Road.-I loved that movie.-Tom Hardy is incredible.-Hardy is always good in my books.-Charlise theron was also very powerful in her performance.-Furiosa is a kick ass role for any women, but glad charlize was the one to land it.-I can't say enough about this film, the pacing was so fun.-A true action packed movie.-It was like an adrenaline rush the entire time.-I think so also.-I feel the score really added to the vibe and anxiety you felt the entire time.-To some degree  yes but I think the stakes were also so high.-George Miller the director was very skilled at depiciting this.-I think this is George Miller's masterpiece , not sure he will ever be able to top it.-But I would love to see him try."
Matrix,Did you ever see the Matrix?,"Of course I saw the Matrix, its one of the top movies of all time.-Yea I really loved those movies.-The special effect style of the fight choreography was very original.-Yea, the way they slow-motion dodged bullets was really cool.-Yea it was.-What else did you like about it?-The fighting they did on the cables to make it seem like they were flying around was pretty epic.-Like when Morpheus was training Neo in the dojo?-Exactly, that was awesome."
Can,Can you recommend any good action movies for us?,"You mean a new one or old?-Doesn't matter.-Have you seen the movie Hitman?-I don't think so.-Who's in it?-Timothy Olyphant is the main actor.-No, never watched it.-Is it new?-No.-Actually it's from 2007.-Is there a lot of action?-Sure is.-He is a great actor too."
So,"So, you know what's really a good action movie?","Hot Fuzz.-Really?-Don't think I've seen that one.-Yeah, I mean, for the first two actions, it's played up like a mystery/horror film with comedic elements, but then it Act III it goes into over-the-top Michael Bay style action.-Oh, not Michael Bay!-Getting tired of the Transformers movies.-No, no, this was made back when his biggest things were Bad Boys 2 and Point Break.-So, they movie does a lot of send up of those films.-Oh, that sounds fun.-Oh, yeah, there's a scene for instance where the main character and bad guy are fighting in a replica model of the village, so they shoot it like something out of a Godzilla movie.-Hahaha.-Another good one is how mainly of the lines they exchanged with characters previously in the film and respoken later one to give them extra meaning.-Oh, yeah, like a neat little call-back/"
Kurt,Are you a fan of Kurt Russel?,Yes I am.-He is great.-Have you ever seen Big Trouble in Little China?-No I haven't.-What is it about?-It is a supernatural action movie where Kurt Russel saves the world.-That sounds like my type of movie.-I think you would love it.-Kurt uses his martial arts skills to fight wizards.-Wow.-So he beats people even though they have magic?-Yes he does.-That is what Kurt Russel does.-You are making me want to go on an 80's movie binge.
Transformers,Do you think the new Transformers movie will be good?,"I dont think so because the cast is terrible
It wasnt that good when Shia was still doing them
Yeah the acting fell of on Dark Side of the Moon
It wasnt that bad of a movie
But the special effects are great.-Sometimes I get lost in fight scenes with that franchise.-I know what you mean you cant tell what transformer is what
Yes and sometimes the voices I forget
All in all though the franchise isnt THAT bad just has taken a turn for the worse"
Hi,"Hey there
Hi
Want do you want to talk about?","What about movies?-Sure i love movies
Whats your favorite kind?-I love action movies
Me too, there so good
Exactly i like them better fast paced
Me too"
Wish,I saw Death Wish for my criminal justice class.,That's an oldie.-Charles Bronson?-Yes.-He was stoic as ever.-Who played his wife.-Hope Lange.-Who directed it?-Michael Winner.-Who's the cop?-Vincent Gardenia.-He's great - really looks like a cop.
Bond,Did you hear that they're making a new Bond movie.,"That's great.-I love Bond.-What did you think of SPECTRE
At first I was only liked it a little, but I rewatched it and liked it more a second time
Yeah, some of the political things really foreshadowed today didn't it.-Well, that's what good Bond has always done.-What's your favorite Bond film?-I think it's Moonraker
Oh, so you're a Roger Moore guy.-Actually I liked Connery more in the role, but I still love Moonraker."
Man,Did you ever see Man on Fire?,"No.-What's that?-It's an older action movie with Denzel Washington.-Really, I never heard of it.-We watched it when it first came out.-They actually have it on T.V.-now.-On regular channels or HBO?-Regular channels.-It's from 2004.-It's that old and I never saw it.-What's it about?-He's a bodyguard for a lttle girl and things go wrong.-Denzel Washington plays great roles.-Especially in action films."
Why,"I love action movies
Is it your favorite
I think they might be
Why
It is just unrelenting
Well that is interesting
What is your favorite
I love comedies
Do you like action comedies
Sure why not",
Edge,"If you haven't seen Edge of Tomorrow: Live, Die, Repeat you should go see it.","Who directed that?-It was Doug Liman.-He made a couple of the best Bourne films right?-Yeah, his Bourne films were really good.-What is it about?-A soldier keeps waking up over and over again and having to fight the same battles to get out of being stuck.-Kind of like Groundhog Day.-Yes, the same concept.-I like that kind of storyline."
What,What are some of your favorite action films?,"I really like Tom Cruise action movies actually.-Yeah, he's done quite a few.-I loved Days of Thunder
That's a good one, I like a lot of his more recent films too.-I haven't seen too many of his newer films, I heard the Mission Impossible Films are pretty good.-They are.-I also like the Jack Reacher films.-I've never seen those either.-Do you like Matt Damon?-Yes, I'm a huge fan of the Jason Bourne series.-Me too, did you watch the latest one?-Yes, it was awesome."
Die,Which Die Hard movie is your favorite?,Definitely the first one.-Me too.-I love some of John McClains lines.-Yea he had a lot of memorable ones.-I liked that one cop too.-The one that first showed up.-Yes.-He's been in a few movies but I don't know his name.-I couldn't stand the main bad guy.-Don't remember his name.-I didn't like any of the bad guys.
Have,Have you seen the taken movies?,"Yes i love them
Me too
I love liam nelsen too
Hes a great actor
And so great for the part
Hes perfect in these movies
He is they suit him so well
He makes the movies
Yes"
Hello,Hello.,"Hi.-Do you like action movies?-Nowadays not so much, I like 80's and 90's the most.-I know what you mean.-The action movies now have almost too much action.-Yeah not much plot.-exactly.-What's an example of a newer one you don't like.-Any of the Transformer movies."
Enter,Did you see Enter the Dragon?,No I did not.-It is Bruce Lees magnum opus.-Ok great I must watch it then.-Yes it is the definition of a classic.-I want to watch it.-Yes you will like it.-Why do you think so?-It is filled with amazing action.-Ok I look forward to it.
Sylvester,Do you like Sylvester Stallone?,Yeah I do.-Did you like him in Rocky?-Yes I love Rocky I seen all the movies.-Me too I like when he beat the Russian.-Yes he was tough to beat.-It was a shame he killed his buddy.-It sure was.-I am glad Rocky got him.-Did you like him in the Expendables?-Yes I did.-I seen all but the new one.-The new one is good you should watch if you get time.
The,Did you ever see The Accountant?,Wasn't that the movie that came out with Ben Affleck?-Yep.-I saw it on a plane the other day.-What's the verdict?-Pretty forgettable.-He's not a very likeable hero and the action scenes were bland.-It kind of bombed at the box office if I remember correctly.-Ben Affleck is just not an action star.-I think he's a better director than actor personally.-Agreed.-He needs to stay out of the camera lens as his true talent lies elsewhere.-Hopefully his next movie will be better.
The,"Who was the original actor in ""The Mechanic""?","That was Charles Bronson.-Yes, he was a good actor.-His action films were really good when they came out.-Jason Statham took over the reboot.-There are a few more ""Mechanic"" movies now.-Looks like he has turned it into another franchise.-The first one was really good.-I agree, but the sequels haven't measured up to the first.-Once a character gets developed he needs a place to go in the sequel scripts."
